label_id_long;label_id;parent_id;segment_description;label_name;
20104050000;2010405;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Geology;
20104060000;2010406;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Mechanical Engineering;
20104070000;2010407;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Physics;
20104080000;2010408;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Research Methods;
20104090000;2010409;20104;interests related to academic subjects;Interest  Academic Interest  Physical Science and Engineering  Space and Astronomy;
20105000000;20105;201;interests related to academic subjects;Interest  Academic Interest  Social Sciences;
20105010000;2010501;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Critical Thinking;
20105020000;2010502;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Economics;
20105030000;2010503;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Education;
20105040000;2010504;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Governance and Society;
20105050000;2010505;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  International Relations;
20105060000;2010506;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Law;
20105070000;2010507;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Psychology;
20105080000;2010508;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Research Paper Writing;
20105090000;2010509;20105;interests related to academic subjects;Interest  Academic Interest  Social Sciences  Statistics;
20200000000;202;2;interest in automotive brands and types;Interest  Automotive;
20201000000;20201;202;interest in automotive brands and types;Interest  Automotive  Brand;
